,Village,District,Region,Population
0,Ali,Balaka,South,2020.1797235023041
1,Amanu,Balaka,South,2020.1797235023041
2,Amini,Balaka,South,2020.1797235023041
3,Amonitsute,Balaka,South,2020.1797235023041
4,Andarasani,Balaka,South,2020.1797235023041
5,Ayanjaawo,Balaka,South,2020.1797235023041
6,Bandawe,Balaka,South,2020.1797235023041
7,Bisani,Balaka,South,2020.1797235023041
8,Bonongwe,Balaka,South,2020.1797235023041
9,Buleya,Balaka,South,2020.1797235023041
10,Bwanali,Balaka,South,2020.1797235023041
11,Chagunda,Balaka,South,2020.1797235023041
12,Chakanza,Balaka,South,2020.1797235023041
13,Chamba,Balaka,South,2020.1797235023041
14,Chapita,Balaka,South,2020.1797235023041
15,Chatama,Balaka,South,2020.1797235023041
16,Chauluka,Balaka,South,2020.1797235023041
17,Chibwana,Balaka,South,2020.1797235023041
18,Chigwenembe,Balaka,South,2020.1797235023041
19,Chikalozwa,Balaka,South,2020.1797235023041
20,Chikamana,Balaka,South,2020.1797235023041
21,Chikolongo,Balaka,South,2020.1797235023041
22,Chikumba,Balaka,South,2020.1797235023041
23,Chilembwe,Balaka,South,2020.1797235023041
24,Chilombo,Balaka,South,2020.1797235023041
25,Chimdikiti,Balaka,South,2020.1797235023041
26,Chimkwakwa,Balaka,South,2020.1797235023041
27,Chimpakati,Balaka,South,2020.1797235023041
28,Chimwala,Balaka,South,2020.1797235023041
29,Chingawa,Balaka,South,2020.1797235023041
30,Chingondo,Balaka,South,2020.1797235023041
31,Chipalamilomo,Balaka,South,2020.1797235023041
32,Chipole,Balaka,South,2020.1797235023041
33,Chipote,Balaka,South,2020.1797235023041
34,Chipumi,Balaka,South,2020.1797235023041
35,Chisalanga,Balaka,South,2020.1797235023041
36,Chisinkha,Balaka,South,2020.1797235023041
37,Chitala,Balaka,South,2020.1797235023041
38,Chitale,Balaka,South,2020.1797235023041
39,Chiuja,Balaka,South,2020.1797235023041
40,Chiundu,Balaka,South,2020.1797235023041
41,Chiwoza,Balaka,South,2020.1797235023041
42,Chiyaka,Balaka,South,2020.1797235023041
43,Chiyembekezo,Balaka,South,2020.1797235023041
44,Chizungu I,Balaka,South,2020.1797235023041
45,Chopi,Balaka,South,2020.1797235023041
46,Dayilesi,Balaka,South,2020.1797235023041
47,Dissi,Balaka,South,2020.1797235023041
48,Dula,Balaka,South,2020.1797235023041
49,Edward,Balaka,South,2020.1797235023041
50,Eneya,Balaka,South,2020.1797235023041
51,Gerald,Balaka,South,2020.1797235023041
52,Goliyati,Balaka,South,2020.1797235023041
53,Govati,Balaka,South,2020.1797235023041
54,Gwaladi,Balaka,South,2020.1797235023041
55,Hindahinda,Balaka,South,2020.1797235023041
56,Jambo,Balaka,South,2020.1797235023041
57,Jedeni,Balaka,South,2020.1797235023041
58,Jiya,Balaka,South,2020.1797235023041
59,Jonathan,Balaka,South,2020.1797235023041
60,Jusa,Balaka,South,2020.1797235023041
61,Kabango,Balaka,South,2020.1797235023041
62,Kabiyo,Balaka,South,2020.1797235023041
63,Kachenga,Balaka,South,2020.1797235023041
64,Kachikuni,Balaka,South,2020.1797235023041
65,Kadyalunda,Balaka,South,2020.1797235023041
66,Kainga,Balaka,South,2020.1797235023041
67,Kaipekunja,Balaka,South,2020.1797235023041
68,Kaisi,Balaka,South,2020.1797235023041
69,Kalambo,Balaka,South,2020.1797235023041
70,Kalembo,Balaka,South,2020.1797235023041
71,Kambwiri,Balaka,South,2020.1797235023041
72,Kamowatimwa,Balaka,South,2020.1797235023041
